iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
AFG,2021/02/22,0,0,,,,0,0,,
AFG,2021/02/23,,,,,1367,,,,35
AFG,2021/02/24,,,,,1367,,,,35
AFG,2021/02/25,,,,,1367,,,,35
AFG,2021/02/26,,,,,1367,,,,35
AFG,2021/02/27,,,,,1367,,,,35
AFG,2021/02/28,8200,8200,,,1367,0.02,0.02,,35
AFG,2021/03/01,,,,,1580,,,,41
AFG,2021/03/02,,,,,1794,,,,46
AFG,2021/03/03,,,,,2008,,,,52
AFG,2021/03/04,,,,,2221,,,,57
AFG,2021/03/05,,,,,2435,,,,63
AFG,2021/03/06,,,,,2649,,,,68
AFG,2021/03/07,,,,,2862,,,,74
AFG,2021/03/08,,,,,2862,,,,74
AFG,2021/03/09,,,,,2862,,,,74
AFG,2021/03/10,,,,,2862,,,,74
AFG,2021/03/11,,,,,2862,,,,74
AFG,2021/03/12,,,,,2862,,,,74
AFG,2021/03/13,,,,,2862,,,,74
AFG,2021/03/14,,,,,2862,,,,74
AFG,2021/03/15,,,,,2862,,,,74
AFG,2021/03/16,54000,54000,,,2862,0.14,0.14,,74
AFG,2021/03/17,,,,,2882,,,,74
AFG,2021/03/18,,,,,2902,,,,75
AFG,2021/03/19,,,,,2921,,,,75
AFG,2021/03/20,,,,,2941,,,,76
AFG,2021/03/21,,,,,2961,,,,76
AFG,2021/03/22,,,,,2980,,,,77
AFG,2021/03/23,,,,,3000,,,,77
AFG,2021/03/24,,,,,3000,,,,77
AFG,2021/03/25,,,,,3000,,,,77
AFG,2021/03/26,,,,,3000,,,,77
AFG,2021/03/27,,,,,3000,,,,77
AFG,2021/03/28,,,,,3000,,,,77
AFG,2021/03/29,,,,,3000,,,,77
AFG,2021/03/30,,,,,3000,,,,77
AFG,2021/03/31,,,,,3000,,,,77
AFG,2021/04/01,,,,,3000,,,,77
AFG,2021/04/02,,,,,3000,,,,77
AFG,2021/04/03,,,,,3000,,,,77
AFG,2021/04/04,,,,,3000,,,,77
AFG,2021/04/05,,,,,3000,,,,77
AFG,2021/04/06,,,,,3000,,,,77
AFG,2021/04/07,120000,120000,,,3000,0.31,0.31,,77
AFG,2021/04/08,,,,,3714,,,,95
AFG,2021/04/09,,,,,4429,,,,114
AFG,2021/04/10,,,,,5143,,,,132
AFG,2021/04/11,,,,,5857,,,,150
AFG,2021/04/12,,,,,6571,,,,169
AFG,2021/04/13,,,,,7286,,,,187
AFG,2021/04/14,,,,,8000,,,,206
AFG,2021/04/15,,,,,8000,,,,206
AFG,2021/04/16,,,,,8000,,,,206
AFG,2021/04/17,,,,,8000,,,,206
AFG,2021/04/18,,,,,8000,,,,206
AFG,2021/04/19,,,,,8000,,,,206
AFG,2021/04/20,,,,,8000,,,,206
AFG,2021/04/21,,,,,8000,,,,206
AFG,2021/04/22,240000,240000,,,8000,0.62,0.62,,206
AFG,2021/04/23,,,,,8846,,,,227
AFG,2021/04/24,,,,,9692,,,,249
AFG,2021/04/25,,,,,10538,,,,271
AFG,2021/04/26,,,,,11384,,,,292
AFG,2021/04/27,,,,,12229,,,,314
AFG,2021/04/28,,,,,13075,,,,336
AFG,2021/04/29,,,,,13921,,,,358
AFG,2021/04/30,,,,,13921,,,,358
AFG,2021/05/01,,,,,13921,,,,358
AFG,2021/05/02,,,,,13921,,,,358
AFG,2021/05/03,,,,,13921,,,,358
AFG,2021/05/04,,,,,13921,,,,358
AFG,2021/05/05,,,,,13921,,,,358
AFG,2021/05/06,,,,,13921,,,,358
AFG,2021/05/07,,,,,13921,,,,358
AFG,2021/05/08,,,,,13921,,,,358
AFG,2021/05/09,,,,,13921,,,,358
AFG,2021/05/10,,,,,13921,,,,358
AFG,2021/05/11,504502,448878,55624,,13921,1.3,1.15,0.14,358
AFG,2021/05/12,,,,,12621,,,,324
AFG,2021/05/13,,,,,11321,,,,291
AFG,2021/05/14,,,,,10022,,,,257
AFG,2021/05/15,,,,,8722,,,,224
AFG,2021/05/16,,,,,7422,,,,191
AFG,2021/05/17,,,,,6122,,,,157
AFG,2021/05/18,,,,,4822,,,,124
AFG,2021/05/19,,,,,4822,,,,124
AFG,2021/05/20,547901,470341,77560,,4822,1.41,1.21,0.2,124
AFG,2021/05/21,,,,,5040,,,,129
AFG,2021/05/22,,,,,5257,,,,135
AFG,2021/05/23,,,,,5474,,,,141
AFG,2021/05/24,573277,476367,96910,,5692,1.47,1.22,0.25,146
AFG,2021/05/25,,,,,6230,,,,160
AFG,2021/05/26,590454,479372,111082,,6768,1.52,1.23,0.29,174
AFG,2021/05/27,593313,479574,113739,2859,6487,1.52,1.23,0.29,167
AFG,2021/05/28,,,,,5907,,,,152
AFG,2021/05/29,,,,,5326,,,,137
AFG,2021/05/30,600152,480226,119926,,4746,1.54,1.23,0.31,122
AFG,2021/05/31,,,,,5084,,,,131
AFG,2021/06/01,,,,,5102,,,,131
AFG,2021/06/02,626290,481690,144600,,5119,1.61,1.24,0.37,131
AFG,2021/06/03,630305,481800,148505,4015,5285,1.62,1.24,0.38,136
AFG,2021/06/04,,,,,5273,,,,135
AFG,2021/06/05,,,,,5261,,,,135
AFG,2021/06/06,,,,,5250,,,,135
AFG,2021/06/07,,,,,4319,,,,111
AFG,2021/06/08,641295,482952,158343,,3388,1.65,1.24,0.41,87
AFG,2021/06/09,,,,,2637,,,,68
AFG,2021/06/10,,,,,2556,,,,66
AFG,2021/06/11,,,,,2735,,,,70
AFG,2021/06/12,,,,,2914,,,,75
AFG,2021/06/13,,,,,3093,,,,79
AFG,2021/06/14,662003,484737,177266,,3272,1.7,1.25,0.46,84
AFG,2021/06/15,,,,,4813,,,,124
AFG,2021/06/16,,,,,6175,,,,159
AFG,2021/06/17,,,,,7538,,,,194
AFG,2021/06/18,,,,,8900,,,,229
AFG,2021/06/19,,,,,10262,,,,264
AFG,2021/06/20,,,,,11624,,,,299
AFG,2021/06/21,,,,,12986,,,,334
AFG,2021/06/22,765890,582128,183762,,12986,1.97,1.5,0.47,334
AFG,2021/06/23,,,,,13125,,,,337
AFG,2021/06/24,,,,,13264,,,,341
AFG,2021/06/25,,,,,13404,,,,344
AFG,2021/06/26,,,,,13543,,,,348
AFG,2021/06/27,835694,649434,186260,,13682,2.15,1.67,0.48,351
AFG,2021/06/28,,,,,14263,,,,366
AFG,2021/06/29,,,,,14844,,,,381
AFG,2021/06/30,886854,699200,187654,,15286,2.28,1.8,0.48,393
AFG,2021/07/01,,,,,14115,,,,363
AFG,2021/07/02,,,,,12944,,,,333
AFG,2021/07/03,,,,,11773,,,,302
AFG,2021/07/04,,,,,10602,,,,272
AFG,2021/07/05,915671,726349,189322,,8989,2.35,1.87,0.49,231
AFG,2021/07/06,,,,,7895,,,,203
AFG,2021/07/07,934463,735213,199250,,6801,2.4,1.89,0.51,175
AFG,2021/07/08,,,,,6965,,,,179
AFG,2021/07/09,,,,,7128,,,,183
AFG,2021/07/10,,,,,7292,,,,187
AFG,2021/07/11,962093,742934,219159,,7455,2.47,1.91,0.56,192
AFG,2021/07/12,,,,,9588,,,,246
AFG,2021/07/13,,,,,11201,,,,288
AFG,2021/07/14,1024168,,,,12815,2.63,,,329
AFG,2021/07/15,,,,,14331,,,,368
AFG,2021/07/16,,,,,15848,,,,407
AFG,2021/07/17,,,,,17364,,,,446
AFG,2021/07/18,1094257,,,,18881,2.81,,,485
AFG,2021/07/19,,,,,17753,,,,456
AFG,2021/07/20,,,,,16626,,,,427
AFG,2021/07/21,,,,,15499,,,,398
AFG,2021/07/22,,,,,14824,,,,381
AFG,2021/07/23,,,,,14150,,,,363
AFG,2021/07/24,1171064,,,,13476,3.01,,,346
AFG,2021/07/25,,,,,16021,,,,412
AFG,2021/07/26,,,,,19241,,,,494
AFG,2021/07/27,1277085,,,,22461,3.28,,,577
AFG,2021/07/28,,,,,28084,,,,721
AFG,2021/07/29,1381416,763020,,,33708,3.55,1.96,,866
AFG,2021/07/30,,,,,34776,,,,893
AFG,2021/07/31,,,,,35844,,,,921
AFG,2021/08/01,1442250,763936,,,33692,3.7,1.96,,865
OWID_AFR,2021/01/09,0,0,,,,0,0,,
OWID_AFR,2021/01/10,,,,,500,,,,0
OWID_AFR,2021/01/11,,,,,500,,,,0
OWID_AFR,2021/01/12,,,,,500,,,,0
OWID_AFR,2021/01/13,2000,2000,,,500,0,0,,0
OWID_AFR,2021/01/14,,,,,600,,,,0
OWID_AFR,2021/01/15,4000,4000,,,667,0,0,,0
OWID_AFR,2021/01/16,7000,7000,,3000,1000,0,0,,1
OWID_AFR,2021/01/17,,,,,1118,,,,1
OWID_AFR,2021/01/18,,,,,1236,,,,1
OWID_AFR,2021/01/19,10976,10976,,,1354,0,0,,1
OWID_AFR,2021/01/20,13163,13163,,2187,1595,0,0,,1
OWID_AFR,2021/01/21,,,,,1718,,,,1
OWID_AFR,2021/01/22,16890,16890,,,1841,0,0,,1
OWID_AFR,2021/01/23,18353,18353,,1463,1622,0,0,,1
OWID_AFR,2021/01/24,18353,18353,,0,1433,0,0,,1
OWID_AFR,2021/01/25,19889,19889,,1536,1463,0,0,,1
OWID_AFR,2021/01/26,22712,22712,,2823,1677,0,0,,1
OWID_AFR,2021/01/27,25587,25587,,2875,1775,0,0,,1
OWID_AFR,2021/01/28,28779,28779,,3192,1965,0,0,,1
OWID_AFR,2021/01/29,30861,30861,,2082,1996,0,0,,1
OWID_AFR,2021/01/30,122206,32206,,91345,14836,0.01,0,,11
OWID_AFR,2021/01/31,158206,32206,,36000,19979,0.01,0,,15
OWID_AFR,2021/02/01,236712,36631,,78506,30975,0.02,0,,23
OWID_AFR,2021/02/02,295127,37836,,58415,38916,0.02,0,,29
OWID_AFR,2021/02/03,347149,38746,5,52022,45937,0.03,0,0,34
OWID_AFR,2021/02/04,390474,38746,5,43325,51671,0.03,0,0,39
OWID_AFR,2021/02/05,446986,38746,5,56512,59446,0.03,0,0,44
OWID_AFR,2021/02/06,504800,39248,1586,57814,54656,0.04,0,0,41
OWID_AFR,2021/02/07,,,,,55849,,,,42
OWID_AFR,2021/02/08,593502,39373,3980,,50970,0.04,0,0,38
OWID_AFR,2021/02/09,661263,39382,6700,67761,52305,0.05,0,0,39
OWID_AFR,2021/02/10,795836,39385,10335,134573,64098,0.06,0,0,48
OWID_AFR,2021/02/11,908796,39611,13867,112960,74046,0.07,0,0,55
OWID_AFR,2021/02/12,1165581,39611,13867,256785,102656,0.09,0,0,77
OWID_AFR,2021/02/13,1446178,43458,14181,280597,134483,0.11,0,0,100
OWID_AFR,2021/02/14,,,,,151062,,,,113
OWID_AFR,2021/02/15,1766999,43467,16441,,167642,0.13,0,0,125
OWID_AFR,2021/02/16,1965819,43474,18176,198820,186365,0.15,0,0,139
OWID_AFR,2021/02/17,2147659,47134,19512,181840,193118,0.16,0,0,144
OWID_AFR,2021/02/18,2303964,50176,22925,156305,199310,0.17,0,0,149
OWID_AFR,2021/02/19,2513999,2487533,32990,210035,192631,0.19,0.19,0,144
OWID_AFR,2021/02/20,2616931,2581856,45489,102932,167250,0.2,0.19,0,125
OWID_AFR,2021/02/21,2622421,2587346,50463,5490,145119,0.2,0.19,0,108
OWID_AFR,2021/02/22,2745898,2700632,68325,123477,139843,0.2,0.2,0.01,104
OWID_AFR,2021/02/23,2854362,2799750,86927,108464,126935,0.21,0.21,0.01,95
OWID_AFR,2021/02/24,3153546,3092856,102499,299184,143698,0.24,0.23,0.01,107
OWID_AFR,2021/02/25,3434869,3367724,119792,281323,161558,0.26,0.25,0.01,121
OWID_AFR,2021/02/26,3677524,3557568,183604,242655,166218,0.27,0.27,0.01,124
OWID_AFR,2021/02/27,3866267,3680812,252758,188743,178477,0.29,0.27,0.02,133
OWID_AFR,2021/02/28,3873994,3688539,255982,7727,178796,0.29,0.28,0.02,133
OWID_AFR,2021/03/01,4091848,3834638,330257,217854,192279,0.31,0.29,0.02,143
OWID_AFR,2021/03/02,4252773,3934686,394124,160925,199773,0.32,0.29,0.03,149
OWID_AFR,2021/03/03,4424168,4038877,468861,171395,181517,0.33,0.3,0.03,135
OWID_AFR,2021/03/04,4570159,4132507,529681,145991,162184,0.34,0.31,0.04,121
OWID_AFR,2021/03/05,4808230,4283668,624742,238071,161529,0.36,0.32,0.05,120
OWID_AFR,2021/03/06,5013197,4409635,705135,204967,163847,0.37,0.33,0.05,122
OWID_AFR,2021/03/07,5053898,4450336,705135,40701,168558,0.38,0.33,0.05,126
OWID_AFR,2021/03/08,5402174,4724256,779759,348276,187189,0.4,0.35,0.06,140
OWID_AFR,2021/03/09,5542597,4798917,850734,140423,184261,0.41,0.36,0.06,137
OWID_AFR,2021/03/10,5882799,5001631,1010055,340202,208376,0.44,0.37,0.08,155
OWID_AFR,2021/03/11,6071207,5072092,1137129,188408,214435,0.45,0.38,0.08,160
OWID_AFR,2021/03/12,6381226,5129231,1397210,310019,224714,0.48,0.38,0.1,168
OWID_AFR,2021/03/13,6784874,5286100,1644318,403648,253097,0.51,0.39,0.12,189
OWID_AFR,2021/03/14,6801397,5302623,1644318,16523,249643,0.51,0.4,0.12,186
OWID_AFR,2021/03/15,7194432,5399518,1942667,393035,256037,0.54,0.4,0.14,191
OWID_AFR,2021/03/16,7429911,5440673,2146524,235479,269616,0.55,0.41,0.16,201
OWID_AFR,2021/03/17,7631610,5487287,2312736,201699,249830,0.57,0.41,0.17,186
OWID_AFR,2021/03/18,7819050,5674476,2321849,187440,249692,0.58,0.42,0.17,186
OWID_AFR,2021/03/19,8101883,5746305,2563824,282833,245808,0.6,0.43,0.19,183
OWID_AFR,2021/03/20,8194242,5767632,2634856,92359,201338,0.61,0.43,0.2,150
OWID_AFR,2021/03/21,8215790,5789180,2634856,21548,202056,0.61,0.43,0.2,151
OWID_AFR,2021/03/22,8338031,5817779,2728498,122241,163371,0.62,0.43,0.2,122
OWID_AFR,2021/03/23,8484254,5891994,2820695,146223,150620,0.63,0.44,0.21,112
OWID_AFR,2021/03/24,9420365,6572947,3089404,936111,255536,0.7,0.49,0.23,191
OWID_AFR,2021/03/25,9708756,6633421,3329642,288391,269958,0.72,0.49,0.25,201
OWID_AFR,2021/03/26,9977284,6738850,3503614,268528,267914,0.74,0.5,0.26,200
OWID_AFR,2021/03/27,10303121,6962741,3606163,325837,301268,0.77,0.52,0.27,225
OWID_AFR,2021/03/28,10561970,7218927,3608826,258849,335169,0.79,0.54,0.27,250
OWID_AFR,2021/03/29,10774885,7305693,3743035,212915,348122,0.8,0.54,0.28,260
OWID_AFR,2021/03/30,10971670,7387045,3870510,196785,355345,0.82,0.55,0.29,265
OWID_AFR,2021/03/31,11475702,7744531,3995049,504032,293620,0.86,0.58,0.3,219
OWID_AFR,2021/04/01,11729279,7900844,4097537,253577,288646,0.87,0.59,0.31,215
OWID_AFR,2021/04/02,11883043,7977827,4174318,153764,272251,0.89,0.6,0.31,203
OWID_AFR,2021/04/03,12018282,8061371,4226013,135239,245023,0.9,0.6,0.32,183
OWID_AFR,2021/04/04,12082234,8131493,4226289,63952,217181,0.9,0.61,0.32,162
OWID_AFR,2021/04/05,12235736,8226641,4285890,153502,208693,0.91,0.61,0.32,156
OWID_AFR,2021/04/06,12575036,8521870,4333474,339300,229052,0.94,0.64,0.32,171
OWID_AFR,2021/04/07,12960258,8839889,4399278,385222,212079,0.97,0.66,0.33,158
OWID_AFR,2021/04/08,13697727,9540508,4443032,737469,281207,1.02,0.71,0.33,210
OWID_AFR,2021/04/09,13852802,9667716,4477593,155075,281394,1.03,0.72,0.33,210
OWID_AFR,2021/04/10,14012728,9789075,4516916,159926,284921,1.05,0.73,0.34,213
OWID_AFR,2021/04/11,14162114,9924158,4531219,149386,297126,1.06,0.74,0.34,222
OWID_AFR,2021/04/12,14271533,10035075,4533119,109419,290828,1.06,0.75,0.34,217
OWID_AFR,2021/04/13,14370977,10124510,4545964,99444,256563,1.07,0.76,0.34,191
OWID_AFR,2021/04/14,14732385,10473338,4558759,361408,253161,1.1,0.78,0.34,189
OWID_AFR,2021/04/15,14856238,10561218,4587643,123853,165502,1.11,0.79,0.34,123
OWID_AFR,2021/04/16,15083479,10775250,4600852,227241,175811,1.13,0.8,0.34,131
OWID_AFR,2021/04/17,15381972,11066612,4607983,298493,195606,1.15,0.83,0.34,146
OWID_AFR,2021/04/18,15949649,11612009,4630263,567677,255362,1.19,0.87,0.35,190
OWID_AFR,2021/04/19,16165548,11809547,4648624,215899,270574,1.21,0.88,0.35,202
OWID_AFR,2021/04/20,16331855,11960570,4663908,166307,280125,1.22,0.89,0.35,209
OWID_AFR,2021/04/21,16544427,12156964,4680086,212572,258863,1.23,0.91,0.35,193
OWID_AFR,2021/04/22,16648789,12243149,4698263,104362,256079,1.24,0.91,0.35,191
OWID_AFR,2021/04/23,16834942,12408548,4719017,186153,250209,1.26,0.93,0.35,187
OWID_AFR,2021/04/24,16889942,12454393,4728172,55000,215424,1.26,0.93,0.35,161
OWID_AFR,2021/04/25,16969006,12520419,4741210,79064,145622,1.27,0.93,0.35,109
OWID_AFR,2021/04/26,17068090,12604524,4756189,99084,128935,1.27,0.94,0.35,96
OWID_AFR,2021/04/27,17236966,12746366,4783223,168876,129302,1.29,0.95,0.36,96
OWID_AFR,2021/04/28,18296589,13765818,4828924,1059623,250309,1.36,1.03,0.36,187
OWID_AFR,2021/04/29,18389755,13849934,4847412,93166,248709,1.37,1.03,0.36,186
OWID_AFR,2021/04/30,18553655,13988176,4883135,163900,245530,1.38,1.04,0.36,183
OWID_AFR,2021/05/01,18680584,14102884,4896370,126929,255806,1.39,1.05,0.37,191
OWID_AFR,2021/05/02,18737275,14151044,4904901,56691,252610,1.4,1.06,0.37,188
OWID_AFR,2021/05/03,18912422,14294358,4947162,175147,263476,1.41,1.07,0.37,197
OWID_AFR,2021/05/04,19208548,14534060,5027669,296126,281655,1.43,1.08,0.38,210
OWID_AFR,2021/05/05,19465178,14750881,5082089,256630,166941,1.45,1.1,0.38,125
OWID_AFR,2021/05/06,19624749,14884557,5107984,159571,176428,1.46,1.11,0.38,132
OWID_AFR,2021/05/07,20217788,15433666,5166984,593039,237733,1.51,1.15,0.39,177
OWID_AFR,2021/05/08,20470315,15587003,5265792,252527,255676,1.53,1.16,0.39,191
OWID_AFR,2021/05/09,21199786,16063514,5518752,729471,351787,1.58,1.2,0.41,262
OWID_AFR,2021/05/10,21661190,16498949,5557471,461404,392681,1.62,1.23,0.41,293
OWID_AFR,2021/05/11,22093431,16908219,5599584,432241,412126,1.65,1.26,0.42,307
OWID_AFR,2021/05/12,23173695,17830591,5773834,1080264,529788,1.73,1.33,0.43,395
OWID_AFR,2021/05/13,23349124,17994423,5809870,175429,532054,1.74,1.34,0.43,397
OWID_AFR,2021/05/14,23545234,18156408,5863144,196110,475349,1.76,1.35,0.44,355
OWID_AFR,2021/05/15,23859320,18397252,5940520,314086,484144,1.78,1.37,0.44,361
OWID_AFR,2021/05/16,23952448,18481008,5950173,93128,393237,1.79,1.38,0.44,293
OWID_AFR,2021/05/17,24419413,18880694,6017452,466965,394032,1.82,1.41,0.45,294
OWID_AFR,2021/05/18,25194315,19509043,6165037,774902,442983,1.88,1.46,0.46,330
OWID_AFR,2021/05/19,25763252,19960693,6282324,568937,369937,1.92,1.49,0.47,276
OWID_AFR,2021/05/20,26225248,20334858,6370155,461996,410875,1.96,1.52,0.48,306
OWID_AFR,2021/05/21,26987320,20843338,6623750,762072,491727,2.01,1.55,0.49,367
OWID_AFR,2021/05/22,27828543,21569559,6738752,841223,567032,2.08,1.61,0.5,423
OWID_AFR,2021/05/23,28053621,21770776,6762613,225078,585882,2.09,1.62,0.5,437
OWID_AFR,2021/05/24,28560754,22211095,6829427,507133,591620,2.13,1.66,0.51,441
OWID_AFR,2021/05/25,29272868,22769170,6983466,712114,582650,2.18,1.7,0.52,435
OWID_AFR,2021/05/26,29659370,23030272,7112946,386502,556588,2.21,1.72,0.53,415
OWID_AFR,2021/05/27,29882022,23229364,7136506,222652,522396,2.23,1.73,0.53,390
OWID_AFR,2021/05/28,30063351,23372549,7174650,181329,439433,2.24,1.74,0.54,328
OWID_AFR,2021/05/29,30663033,23917247,7229634,599682,404927,2.29,1.78,0.54,302
OWID_AFR,2021/05/30,30985837,24172688,7296997,322804,418888,2.31,1.8,0.54,312
OWID_AFR,2021/05/31,33013499,25061396,8432067,2027662,636106,2.46,1.87,0.63,474
OWID_AFR,2021/06/01,33811846,25622043,8669767,798347,648425,2.52,1.91,0.65,484
OWID_AFR,2021/06/02,34313759,25939751,8853972,501913,664913,2.56,1.93,0.66,496
OWID_AFR,2021/06/03,34777465,26281757,8974862,463706,699349,2.59,1.96,0.67,522
OWID_AFR,2021/06/04,35024428,26401241,9103151,246963,708725,2.61,1.97,0.68,529
OWID_AFR,2021/06/05,35258291,26558999,9179256,233863,656465,2.63,1.98,0.68,490
OWID_AFR,2021/06/06,35499897,26607782,9372079,241606,644866,2.65,1.98,0.7,481
OWID_AFR,2021/06/07,36082977,26887557,9675384,583080,438497,2.69,2.01,0.72,327
OWID_AFR,2021/06/08,37188914,27435747,10230788,1105937,482438,2.77,2.05,0.76,360
OWID_AFR,2021/06/09,38220329,28040798,10657152,1031415,558081,2.85,2.09,0.79,416
OWID_AFR,2021/06/10,38836054,28317529,11002422,615725,579798,2.9,2.11,0.82,432
OWID_AFR,2021/06/11,39202556,28470444,11216009,366502,596875,2.92,2.12,0.84,445
OWID_AFR,2021/06/12,39520096,28662701,11341292,317540,608829,2.95,2.14,0.85,454
OWID_AFR,2021/06/13,39608082,28724735,11367244,87986,586884,2.95,2.14,0.85,438
OWID_AFR,2021/06/14,40472073,29128741,11826955,863991,627014,3.02,2.17,0.88,468
OWID_AFR,2021/06/15,41466568,29400215,12539775,994495,611093,3.09,2.19,0.94,456
OWID_AFR,2021/06/16,41795600,29529101,12739921,329032,510753,3.12,2.2,0.95,381
OWID_AFR,2021/06/17,42179081,29673235,12979268,383481,477575,3.15,2.21,0.97,356
OWID_AFR,2021/06/18,42518030,29789293,13202159,338949,473639,3.17,2.22,0.98,353
OWID_AFR,2021/06/19,42651712,29834809,13290325,133682,447374,3.18,2.23,0.99,334
OWID_AFR,2021/06/20,43315858,30395643,13396638,664146,529682,3.23,2.27,1,395
OWID_AFR,2021/06/21,44038225,30741279,13773369,722367,509450,3.28,2.29,1.03,380
OWID_AFR,2021/06/22,44160905,30813350,13823978,122680,384905,3.29,2.3,1.03,287
OWID_AFR,2021/06/23,44802019,31250119,14022884,641114,429488,3.34,2.33,1.05,320
OWID_AFR,2021/06/24,46139703,32043237,14566460,1337684,565803,3.44,2.39,1.09,422
OWID_AFR,2021/06/25,46505084,32236151,14738927,365381,569579,3.47,2.4,1.1,425
OWID_AFR,2021/06/26,46700068,32306561,14863501,194984,578337,3.48,2.41,1.11,431
OWID_AFR,2021/06/27,46984005,32498057,14955942,283937,524021,3.5,2.42,1.12,391
OWID_AFR,2021/06/28,47874548,32948173,15364245,890543,548046,3.57,2.46,1.15,409
OWID_AFR,2021/06/29,48142135,33129729,15450276,267587,568747,3.59,2.47,1.15,424
OWID_AFR,2021/06/30,48664684,33418851,15683703,522549,551809,3.63,2.49,1.17,412
OWID_AFR,2021/07/01,49084734,33759941,15762663,420050,420719,3.66,2.52,1.18,314
OWID_AFR,2021/07/02,49245698,33849168,15829529,160964,391516,3.67,2.52,1.18,292
OWID_AFR,2021/07/03,49524869,34093034,15864834,279171,403543,3.69,2.54,1.18,301
OWID_AFR,2021/07/04,49901624,34291373,16043250,376755,416803,3.72,2.56,1.2,311
OWID_AFR,2021/07/05,51244893,35025200,16507455,1343269,481478,3.82,2.61,1.23,359
OWID_AFR,2021/07/06,51685628,35336776,16621387,440735,506213,3.86,2.64,1.24,378
OWID_AFR,2021/07/07,51947544,35517105,16721590,261916,468980,3.87,2.65,1.25,350
OWID_AFR,2021/07/08,52532610,35663884,17555684,585066,492554,3.92,2.66,1.31,367
OWID_AFR,2021/07/09,52858087,35893437,17673712,325477,516056,3.94,2.68,1.32,385
OWID_AFR,2021/07/10,52964867,35980428,17698837,106780,491428,3.95,2.68,1.32,367
OWID_AFR,2021/07/11,53076195,36064459,17726134,111328,453510,3.96,2.69,1.32,338
OWID_AFR,2021/07/12,54679748,36778881,18594744,1603553,490694,4.08,2.74,1.39,366
OWID_AFR,2021/07/13,55206780,37125582,18810345,527032,503022,4.12,2.77,1.4,375
OWID_AFR,2021/07/14,55546366,37328792,18946721,339586,514117,4.14,2.78,1.41,383
OWID_AFR,2021/07/15,56745985,38112501,19358653,1199619,601911,4.23,2.84,1.44,449
OWID_AFR,2021/07/16,56924850,38247867,19402152,178865,580966,4.25,2.85,1.45,433
OWID_AFR,2021/07/17,57107308,38375960,19456518,182458,591777,4.26,2.86,1.45,441
OWID_AFR,2021/07/18,57374259,38553656,19545773,266951,614009,4.28,2.88,1.46,458
OWID_AFR,2021/07/19,58680282,39304441,20144345,1306023,571505,4.38,2.93,1.5,426
OWID_AFR,2021/07/20,59035639,39559580,20267833,355357,546980,4.4,2.95,1.51,408
OWID_AFR,2021/07/21,59122509,39631381,20282902,86870,510878,4.41,2.96,1.51,381
OWID_AFR,2021/07/22,60186254,40392134,20729425,1063745,491467,4.49,3.01,1.55,367
OWID_AFR,2021/07/23,60512418,40634178,20870994,326164,512510,4.51,3.03,1.56,382
OWID_AFR,2021/07/24,60807284,40837790,20972640,294866,528568,4.54,3.05,1.56,394
OWID_AFR,2021/07/25,61445678,41161979,21312352,638394,581631,4.58,3.07,1.59,434
OWID_AFR,2021/07/26,62364689,41629371,21537155,919011,526344,4.65,3.11,1.61,393
OWID_AFR,2021/07/27,63232440,42463381,21912323,867751,599543,4.72,3.17,1.63,447
OWID_AFR,2021/07/28,63993065,43063293,22073036,760625,695794,4.77,3.21,1.65,519
OWID_AFR,2021/07/29,69148903,47247039,23246144,5155838,1280378,5.16,3.52,1.73,955
OWID_AFR,2021/07/30,69604619,47557784,23391115,455716,1298886,5.19,3.55,1.74,969
OWID_AFR,2021/07/31,69790085,47700138,23434227,185466,1283257,5.21,3.56,1.75,957
OWID_AFR,2021/08/01,70389661,47868225,23613261,599576,1277712,5.25,3.57,1.76,953
OWID_AFR,2021/08/02,71225450,48539177,23940092,835789,1265823,5.31,3.62,1.79,944
OWID_AFR,2021/08/03,73552043,50051410,24839137,2326593,1474229,5.49,3.73,1.85,1100
OWID_AFR,2021/08/04,74035549,50370035,24884117,483506,1434641,5.52,3.76,1.86,1070
OWID_AFR,2021/08/05,74754907,50845210,25201446,719358,800858,5.58,3.79,1.88,597
OWID_AFR,2021/08/06,75076542,51022079,25346212,321635,781703,5.6,3.81,1.89,583
OWID_AFR,2021/08/07,75170892,51083097,25379544,94350,768687,5.61,3.81,1.89,573
ALB,2021/01/10,0,0,,,,0,0,,
ALB,2021/01/11,,,,,64,,,,22
ALB,2021/01/12,128,128,,,64,0,0,,22
ALB,2021/01/13,188,188,,60,63,0.01,0.01,,22
ALB,2021/01/14,266,266,,78,66,0.01,0.01,,23
ALB,2021/01/15,308,308,,42,62,0.01,0.01,,22
ALB,2021/01/16,369,369,,61,62,0.01,0.01,,22
ALB,2021/01/17,405,405,,36,58,0.01,0.01,,20
ALB,2021/01/18,447,447,,42,55,0.02,0.02,,19
ALB,2021/01/19,483,483,,36,51,0.02,0.02,,18
ALB,2021/01/20,519,519,,36,47,0.02,0.02,,16
ALB,2021/01/21,549,549,,30,40,0.02,0.02,,14
ALB,2021/01/22,,,,,34,,,,12
ALB,2021/01/23,,,,,26,,,,9
ALB,2021/01/24,,,,,21,,,,7
ALB,2021/01/25,,,,,15,,,,5
